traffic,driver_id,weather,order_type,vehicle_type,driver_age,driver_rating,rest_lat,rest_lon,dest_lat,dest_lon,temp,humidity,distance
Low,JAPRES06DEL01,Foggy,Buffet,Bike,31,4.6,26.911.927,75.797.282,26.921.927,75.807.282,19.62,68.0,2.42
Low,CHENRES02DEL02,Foggy,Buffet,Bike,30,4.9,13.086.438,80.220.672,13.106.438,80.240.672,26.31,88.0,4.61
Low,JAPRES04DEL03,Foggy,Snack,Bike,33,4.7,26.902.328,75.794.257,26.932.328,75.824.257,19.7,64.0,5.86
Low,RANCHIRES20DEL03,Clear,Snack,Bike,28,4.9,2.339.925,85.390.464,2.348.925,85.480.464,17.85,67.0,14.22
Low,SURRES12DEL03,Clear,Meal,Bike,26,4.9,21.183.434,72.814.492,21.213.434,72.844.492,23.12,43.0,7.63
Low,HYDRES08DEL01,Cloudy,Drinks,Bike,22,4.7,17.438.263,78.397.865,17.448.263,78.407.865,21.22,65.0,2.32
Low,SURRES13DEL03,Clear,Drinks,Bike,31,5.0,21.170.096,72.789.122,21.200.096,72.819.122,23.39,43.0,6.06
Low,PUNERES14DEL02,Clear,Snack,Bike,22,4.9,18.516.216,73.842.527,18.536.216,73.862.527,19.17,64.0,4.37
Low,COIMBRES06DEL01,Foggy,Meal,Bike,34,5.0,11.021.278,76.995.017,11.031.278,77.005.017,24.86,73.0,3.13
Low,VADRES19DEL01,Clear,Drinks,Bike,33,4.8,22.311.844,73.165.081,22.351.844,73.205.081,22.85,43.0,8.47
Low,SURRES01DEL02,Clear,Meal,Bike,27,4.8,21.186.438,72.794.115,21.236.438,72.844.115,22.99,43.0,8.39
Low,HYDRES03DEL01,Cloudy,Buffet,Bike,34,5.0,17.422.819,78.449.578,17.432.819,78.459.578,21.53,65.0,3.85
Low,SURRES17DEL02,Clear,Meal,Bike,32,4.9,21.149.569,72.772.697,21.169.569,72.792.697,23.77,44.0,4.5
Low,JAPRES010DEL02,Foggy,Drinks,Bike,27,4.6,26.921.411,75.793.604,26.941.411,75.813.604,19.37,68.0,3.97
Low,SURRES13DEL03,Clear,Snack,E-Bike,28,4.8,21.170.096,72.789.122,21.200.096,72.819.122,23.39,43.0,6.06
Low,SURRES02DEL01,Clear,Meal,Bike,39,4.1,21.186.608,72.794.136,21.226.608,72.834.136,23.1,43.0,6.97
Low,MYSRES11DEL03,Cloudy,Meal,Bike,25,4.8,12.323.225,76.630.028,12.353.225,76.660.028,18.25,81.0,6.73
Low,INDORES02DEL02,Foggy,Snack,Bike,36,4.9,22.651.847,75.881.991,22.701.847,75.931.991,16.97,72.0,11.52
Low,SURRES08DEL02,Clear,Meal,Bike,22,4.9,21.173.343,72.792.731,21.193.343,72.812.731,23.61,44.0,3.97
Low,PUNERES11DEL02,Clear,Buffet,Bike,23,4.8,18.533.811,73.899.315,18.553.811,73.919.315,19.31,64.0,5.08
Low,BANGRES06DEL02,Foggy,Drinks,Bike,23,4.8,12.979.096,77.640.625,12.999.096,77.660.625,19.61,92.0,8.66
Low,CHENRES01DEL03,Foggy,Buffet,Bike,25,4.9,13.005.801,80.250.744,13.035.801,80.280.744,26.51,87.0,5.87
Low,RANCHIRES20DEL03,Clear,Buffet,Bike,25,4.7,2.339.925,85.390.464,2.348.925,85.480.464,17.85,67.0,14.22
Low,BANGRES05DEL02,Foggy,Meal,E-Bike,28,4.8,12.970.324,77.645.748,12.990.324,77.665.748,19.69,92.0,4.9
Low,SURRES14DEL02,Clear,Snack,Bike,23,4.1,21.157.729,72.768.726,21.177.729,72.788.726,23.79,44.0,4.37
Low,JAPRES02DEL02,Foggy,Meal,Bike,38,4.8,26.914.142,75.805.704,26.934.142,75.825.704,19.7,68.0,3.91
Low,VADRES11DEL02,Clear,Drinks,Bike,26,4.9,22.308.096,73.167.753,22.328.096,73.187.753,22.88,42.0,5.41
Low,COIMBRES06DEL01,Foggy,Snack,Bike,22,4.2,11.021.278,76.995.017,11.031.278,77.005.017,24.86,73.0,3.13
Low,SURRES14DEL01,Clear,Meal,Bike,24,4.6,21.157.729,72.768.726,21.197.729,72.808.726,23.38,43.0,7.87
Low,AURGRES18DEL01,Foggy,Buffet,Bike,21,4.6,19.888.716,75.321.461,19.928.716,75.361.461,17.77,82.0,6.97
Low,SURRES20DEL02,Clear,Buffet,Bike,34,4.3,2.115.276,72.778.059,2.117.276,72.798.059,23.72,44.0,3.84
Low,PUNERES010DEL02,Clear,Snack,Bike,30,4.7,18.539.299,73.897.902,18.559.299,73.917.902,19.26,64.0,7.32
Low,PUNERES06DEL03,Clear,Snack,Bike,23,4.9,18.546.258,73.904.337,18.576.258,73.934.337,19.2,65.0,6.27
Low,COIMBRES03DEL01,Foggy,Drinks,Bike,32,4.8,11.025.083,77.015.393,11.035.083,77.025.393,24.88,73.0,4.02
Low,HYDRES08DEL01,Cloudy,Buffet,Bike,36,4.6,17.438.263,78.397.865,17.448.263,78.407.865,21.22,65.0,2.32
Low,INDORES08DEL02,Foggy,Meal,Bike,27,5.0,22.725.748,75.898.497,22.745.748,75.918.497,17.05,72.0,5.8
Low,VADRES03DEL02,Clear,Snack,Bike,36,4.7,22.32,73.17,22.34,73.19,22.89,42.0,5.51
Low,LUDHRES05DEL02,Clear,Snack,E-Bike,22,4.7,30.905.562,75.832.841,30.925.562,75.852.841,18.94,57.0,3.65
Low,MUMRES16DEL01,Foggy,Drinks,Bike,34,4.8,19.120.083,72.907.385,19.130.083,72.917.385,26.71,44.0,2.48
Low,MYSRES01DEL02,Cloudy,Snack,Bike,25,4.2,12.311.072,76.654.878,12.331.072,76.674.878,18.21,81.0,5.19
Low,JAPRES18DEL02,Foggy,Buffet,Bike,39,4.8,26.913.987,75.752.891,26.933.987,75.772.891,19.64,68.0,4.13
Low,CHENRES17DEL02,Foggy,Snack,Bike,21,4.3,13.045.479,8.023.311,13.065.479,8.025.311,26.43,88.0,4.46
Low,VADRES010DEL03,Clear,Meal,Bike,25,4.9,22.310.329,73.169.083,22.340.329,73.199.083,22.85,43.0,6.97
Low,CHENRES18DEL01,Foggy,Buffet,Bike,35,4.3,12.981.615,80.231.598,12.991.615,80.241.598,26.34,88.0,2.33
Low,AURGRES05DEL02,Foggy,Meal,Bike,20,4.7,19.875.522,75.367.127,19.895.522,75.387.127,17.94,82.0,4.08
Low,PUNERES17DEL01,Clear,Buffet,Bike,37,4.5,18.530.963,73.828.972,18.540.963,73.838.972,19.18,65.0,2.5
Low,HYDRES01DEL02,Cloudy,Buffet,Bike,20,4.1,17.410.371,78.437.225,17.430.371,78.457.225,21.53,65.0,5.97
Low,SURRES02DEL03,Clear,Buffet,Bike,28,4.8,21.186.608,72.794.136,21.216.608,72.824.136,23.21,43.0,5.58
Low,RANCHIRES04DEL01,Clear,Snack,Bike,32,4.6,23.359.033,85.325.347,23.399.033,85.365.347,17.67,68.0,7.87
Low,CHENRES17DEL03,Foggy,Snack,Bike,33,4.9,13.045.479,8.023.311,13.075.479,8.026.311,26.41,88.0,5.98
Low,VADRES13DEL01,Clear,Drinks,Bike,36,4.1,22.310.237,73.158.921,22.350.237,73.198.921,22.84,43.0,8.57
Low,JAPRES11DEL03,Foggy,Buffet,Bike,20,4.6,2.690.294,75.793.007,2.693.294,75.823.007,19.7,64.0,6.25
Low,RANCHIRES08DEL01,Clear,Drinks,Bike,26,4.8,23.353.783,85.326.967,23.393.783,85.366.967,17.67,68.0,7.47
Low,VADRES01DEL01,Clear,Snack,Bike,39,4.5,22.307.898,73.167.788,22.317.898,73.177.788,22.9,42.0,5.22
Low,SURRES18DEL01,Clear,Meal,Bike,30,4.6,21.149.834,72.778.666,21.189.834,72.818.666,23.44,44.0,7.74
Low,CHENRES16DEL02,Foggy,Drinks,Bike,24,4.9,13.049.645,80.242.268,13.069.645,80.262.268,26.4,88.0,4.36
Low,INDORES17DEL03,Foggy,Buffet,Bike,38,4.8,22.761.226,75.887.522,22.791.226,75.917.522,17.16,72.0,7.01
Low,INDORES03DEL01,Foggy,Snack,Bike,21,4.5,22.751.857,75.866.699,22.791.857,75.906.699,17.16,72.0,8.33
Low,MUMRES11DEL03,Foggy,Buffet,Bike,32,4.5,18.994.237,72.825.553,19.024.237,72.855.553,26.98,44.0,7.3
Low,INDORES14DEL01,Foggy,Snack,Bike,32,4.2,22.761.593,75.886.362,22.801.593,75.926.362,17.14,72.0,8.16
Low,PUNERES06DEL03,Clear,Drinks,E-Bike,26,4.7,18.546.258,73.904.337,18.576.258,73.934.337,19.2,65.0,6.27
Low,MYSRES08DEL02,Cloudy,Meal,Bike,24,5.0,12.297.954,76.665.169,12.317.954,76.685.169,18.05,81.0,6.29
Low,INDORES05DEL02,Foggy,Meal,Bike,25,4.6,22.727.021,75.884.167,22.747.021,75.904.167,17.08,72.0,4.15
Low,KNPRES03DEL02,Clear,Snack,Bike,35,5.0,26.469.003,80.316.344,26.489.003,80.336.344,21.77,55.0,4.4
Low,JAPRES03DEL03,Foggy,Meal,Bike,37,4.9,26.913.483,75.803.139,26.943.483,75.833.139,19.63,68.0,5.63
Low,SURRES14DEL01,Clear,Meal,Bike,29,4.6,21.157.729,72.768.726,21.197.729,72.808.726,23.38,43.0,7.87
Low,JAPRES13DEL03,Foggy,Buffet,Bike,21,4.5,26.846.156,758.023,26.876.156,758.323,19.44,64.0,6.96
Low,SURRES01DEL02,Clear,Meal,Bike,28,4.9,21.186.438,72.794.115,21.236.438,72.844.115,22.99,43.0,8.39
Low,DEHRES16DEL03,Clear,Meal,E-Bike,33,4.6,30.342.509,78.061.187,30.372.509,78.091.187,15.75,76.0,5.24
Low,HYDRES20DEL03,Cloudy,Snack,Bike,24,4.5,17.483.216,78.552.111,17.513.216,78.582.111,21.4,65.0,6.6
Low,RANCHIRES010DEL03,Clear,Buffet,Bike,23,4.9,23.354.422,853.329,23.384.422,853.629,17.53,69.0,4.96
Low,INDORES12DEL03,Foggy,Buffet,Bike,33,5.0,2.274.806,758.934,2.277.806,759.234,17.12,72.0,6.42
Low,CHENRES12DEL03,Foggy,Buffet,Bike,35,4.6,12.972.793,80.249.982,13.002.793,80.279.982,26.52,88.0,5.92
Low,PUNERES07DEL03,Clear,Snack,Bike,35,4.7,18.546.947,73.900.626,18.576.947,73.930.626,19.2,65.0,6.21
Low,MYSRES07DEL03,Cloudy,Meal,Bike,29,4.9,12.325.461,76.632.278,12.355.461,76.662.278,18.34,81.0,7.88
Low,SURRES13DEL03,Clear,Buffet,Bike,30,4.6,21.170.096,72.789.122,21.200.096,72.819.122,23.39,43.0,6.06
Low,KOLRES08DEL03,Foggy,Buffet,Bike,34,4.1,2.253.796,88.349.843,2.256.796,88.379.843,22.98,83.0,6.89
Low,PUNERES05DEL02,Clear,Snack,Bike,22,4.6,18.543.626,73.905.101,18.563.626,73.925.101,19.01,64.0,4.38
Low,JAPRES19DEL02,Foggy,Drinks,Bike,37,4.6,26.913.726,7.575.282,26.933.726,7.577.282,19.64,68.0,4.13
Low,COIMBRES02DEL02,Foggy,Drinks,Bike,36,4.5,11.022.477,76.995.667,11.042.477,77.015.667,24.84,73.0,4.55
Low,SURRES06DEL01,Clear,Drinks,Bike,37,4.2,21.185.047,7.280.859,21.225.047,7.284.859,23.01,43.0,9.35
Low,SURRES08DEL03,Clear,Drinks,Bike,27,4.8,21.173.343,72.792.731,21.203.343,72.822.731,23.39,43.0,6.0
Low,SURRES02DEL02,Clear,Meal,E-Bike,26,5.0,21.186.608,72.794.136,21.236.608,72.844.136,22.99,43.0,8.4
Low,RANCHIRES13DEL02,Clear,Snack,Bike,25,4.6,23.374.989,85.335.486,23.394.989,85.355.486,17.66,68.0,4.97
Low,JAPRES18DEL03,Foggy,Snack,Bike,24,5.0,26.913.987,75.752.891,26.943.987,75.782.891,19.61,68.0,8.25
Low,AURGRES14DEL03,Foggy,Drinks,Bike,30,4.7,19.875.016,75.322.405,19.905.016,75.352.405,17.86,82.0,5.73
Low,MUMRES03DEL02,Foggy,Drinks,Bike,25,5.0,1.922.384,72.841.347,1.924.384,72.861.347,26.94,44.0,5.06
Low,HYDRES11DEL02,Cloudy,Buffet,Bike,22,4.8,17.430.448,78.418.213,17.450.448,78.438.213,21.4,67.0,4.85
Low,GOARES11DEL03,Partly Cloudy,Meal,E-Bike,30,5.0,15.544.419,73.755.736,15.574.419,73.785.736,24.94,58.0,5.66
Low,JAPRES02DEL01,Foggy,Drinks,Bike,36,4.8,26.914.142,75.805.704,26.954.142,75.845.704,19.81,68.0,7.89
Low,RANCHIRES01DEL02,Clear,Drinks,Bike,30,4.9,23.416.792,85.316.842,23.436.792,85.336.842,17.69,68.0,4.57
Low,KOLRES18DEL03,Foggy,Meal,Bike,32,4.2,22.569.367,88.433.187,22.599.367,88.463.187,23.03,83.0,8.37
Low,COIMBRES09DEL03,Foggy,Meal,Bike,29,4.6,11.008.638,76.984.311,11.038.638,77.014.311,24.82,73.0,6.4
Low,INDORES18DEL03,Foggy,Snack,E-Bike,24,5.0,22.753.839,75.897.429,22.783.839,75.927.429,17.09,72.0,7.16
Low,SURRES18DEL03,Clear,Meal,Bike,30,4.7,21.149.834,72.778.666,21.179.834,72.808.666,23.59,44.0,5.83
Low,VADRES19DEL02,Clear,Buffet,Bike,33,4.3,22.311.844,73.165.081,22.331.844,73.185.081,22.88,42.0,5.52
Low,GOARES18DEL03,Foggy,Snack,Bike,25,4.6,1.549.395,73.827.423,1.552.395,73.857.423,24.98,88.0,7.48
Low,COIMBRES12DEL02,Foggy,Buffet,E-Bike,32,5.0,11.000.762,76.981.876,11.020.762,77.001.876,24.95,73.0,4.82
Low,CHENRES09DEL02,Foggy,Meal,Bike,22,4.6,13.044.694,8.026.147,13.064.694,8.028.147,26.5,87.0,5.02
Low,JAPRES14DEL03,Foggy,Buffet,E-Bike,23,4.8,2.688.842,75.800.689,2.691.842,75.830.689,19.56,68.0,5.56
Low,RANCHIRES010DEL02,Clear,Buffet,Bike,39,4.9,23.354.422,853.329,23.374.422,853.529,17.58,69.0,3.46
Low,COIMBRES12DEL03,Foggy,Buffet,Bike,25,4.6,11.000.762,76.981.876,11.030.762,77.011.876,24.86,73.0,6.76
Low,CHENRES07DEL03,Foggy,Meal,Bike,23,4.7,13.081.878,80.248.519,13.111.878,80.278.519,26.36,88.0,6.72
Low,RANCHIRES06DEL01,Clear,Snack,Bike,34,4.8,23.357.804,85.325.146,23.397.804,85.365.146,17.67,68.0,8.21
Low,JAPRES14DEL03,Foggy,Snack,Bike,29,4.6,2.688.842,75.800.689,2.691.842,75.830.689,19.56,68.0,6.17
Low,MUMRES11DEL03,Foggy,Snack,Bike,28,4.2,18.994.237,72.825.553,19.024.237,72.855.553,26.98,44.0,7.41
Low,JAPRES14DEL03,Foggy,Drinks,Bike,23,4.7,2.688.842,75.800.689,2.691.842,75.830.689,19.56,68.0,6.17
Low,CHENRES18DEL01,Foggy,Drinks,Bike,34,4.2,12.981.615,80.231.598,13.021.615,80.271.598,26.52,87.0,9.1
Low,INDORES03DEL03,Foggy,Buffet,Bike,39,4.6,22.751.857,75.866.699,22.781.857,75.896.699,17.17,72.0,5.86
Low,KOLRES14DEL03,Foggy,Snack,Bike,35,4.6,22.552.996,8.835.231,22.582.996,8.838.231,22.99,83.0,6.36
Low,PUNERES05DEL02,Clear,Buffet,Bike,27,4.0,18.543.626,73.905.101,18.563.626,73.925.101,19.01,64.0,4.38
Low,BANGRES15DEL02,Foggy,Meal,Bike,31,4.6,12.975.377,77.696.664,12.995.377,77.716.664,19.68,93.0,8.04
Low,HYDRES06DEL02,Cloudy,Drinks,Bike,31,4.6,17.455.894,78.375.467,17.475.894,78.395.467,21.29,65.0,5.96
Low,VADRES01DEL01,Clear,Snack,Bike,29,5.0,22.307.898,73.167.788,22.347.898,73.207.788,22.85,43.0,8.49
Low,COIMBRES06DEL01,Foggy,Snack,Bike,32,4.7,11.021.278,76.995.017,11.031.278,77.005.017,24.86,73.0,3.13
Low,COIMBRES15DEL02,Foggy,Meal,Bike,20,4.9,11.006.686,76.951.736,11.026.686,76.971.736,24.87,73.0,4.64
Low,VADRES13DEL02,Clear,Snack,Bike,32,4.9,22.310.237,73.158.921,22.360.237,73.208.921,22.8,43.0,11.76
Low,INDORES20DEL03,Foggy,Drinks,Bike,29,4.6,22.732.225,75.874.765,22.762.225,75.904.765,17.08,72.0,5.87
Low,SURRES09DEL03,Clear,Snack,Bike,21,4.9,21.175.975,72.795.503,21.205.975,72.825.503,23.23,43.0,6.42
Low,HYDRES02DEL03,Cloudy,Drinks,Bike,22,4.6,1.741.233,78.449.654,1.744.233,78.479.654,21.58,66.0,6.99
Low,INDORES19DEL02,Foggy,Snack,Bike,37,4.7,22.745.536,75.893.106,22.765.536,75.913.106,17.11,77.0,4.38
Low,GOARES06DEL02,Partly Cloudy,Snack,Bike,34,4.7,1.556.155,73.749.092,1.558.155,73.769.092,24.48,58.0,6.11
Low,CHENRES06DEL03,Foggy,Drinks,Bike,26,4.6,13.054.347,80.257.221,13.084.347,80.287.221,26.42,87.0,7.31
Low,MYSRES04DEL03,Cloudy,Buffet,Bike,22,4.3,12.3085,76.665.808,12.3385,76.695.808,18.17,81.0,6.08
Low,RANCHIRES18DEL01,Clear,Meal,Bike,21,4.7,23.351.489,85.324.253,23.391.489,85.364.253,17.66,68.0,7.64
Low,MUMRES14DEL02,Foggy,Meal,Bike,30,4.7,191.813,72.836.191,192.013,72.856.191,26.88,44.0,4.4
Low,JAPRES03DEL03,Foggy,Buffet,Bike,20,4.9,26.913.483,75.803.139,26.943.483,75.833.139,19.63,68.0,5.63
Low,INDORES02DEL03,Foggy,Meal,Bike,27,4.8,22.651.847,75.881.991,22.681.847,75.911.991,16.93,72.0,9.47
Low,MYSRES06DEL02,Cloudy,Snack,Bike,26,4.7,12.323.994,76.626.167,12.343.994,76.646.167,18.2,81.0,4.76
Low,COIMBRES17DEL02,Foggy,Meal,Bike,30,4.8,11.026.117,76.944.652,11.046.117,76.964.652,24.8,73.0,4.62
Low,SURRES15DEL01,Clear,Drinks,Bike,24,4.8,21.160.522,72.771.477,21.200.522,72.811.477,23.38,43.0,7.31
Low,INDORES13DEL03,Foggy,Snack,Bike,35,4.8,22.745.049,75.892.471,22.775.049,75.922.471,17.12,72.0,6.77
Low,JAPRES02DEL01,Foggy,Snack,E-Bike,31,5.0,26.914.142,75.805.704,26.954.142,75.845.704,19.81,68.0,7.89
Low,INDORES14DEL01,Foggy,Snack,Bike,31,4.2,22.761.593,75.886.362,22.801.593,75.926.362,17.14,72.0,8.16
Low,PUNERES15DEL02,Partly Cloudy,Meal,Bike,25,4.5,18.636.215,73.751.081,18.656.215,73.771.081,18.94,65.0,5.74
Low,BANGRES07DEL01,Foggy,Drinks,Bike,32,4.8,12.978.453,77.643.685,12.988.453,77.653.685,19.54,92.0,2.42
Low,COIMBRES17DEL02,Foggy,Buffet,Bike,29,4.9,11.026.117,76.944.652,11.046.117,76.964.652,24.8,73.0,4.62
Low,COIMBRES06DEL03,Foggy,Drinks,E-Bike,32,4.8,11.021.278,76.995.017,11.051.278,77.025.017,23.86,78.0,7.83
Low,VADRES01DEL03,Clear,Drinks,Bike,24,4.7,22.307.898,73.167.788,22.337.898,73.197.788,22.85,43.0,7.41
Low,HYDRES18DEL01,Cloudy,Drinks,Bike,32,4.5,17.450.851,78.379.347,17.460.851,78.389.347,21.26,65.0,3.48
Low,JAPRES07DEL02,Foggy,Drinks,Bike,39,4.5,26.766.536,75.837.333,26.816.536,75.887.333,20.14,68.0,9.41
Low,KOLRES12DEL02,Foggy,Meal,E-Bike,34,4.5,22.551.084,88.354.127,22.571.084,88.374.127,22.97,83.0,4.15
Low,INDORES010DEL01,Foggy,Drinks,Bike,28,4.9,2.275.004,75.902.847,2.279.004,75.942.847,17.12,72.0,9.11
Low,JAPRES09DEL02,Foggy,Buffet,Bike,31,4.2,26.911.378,75.789.034,26.931.378,75.809.034,19.53,68.0,4.08
Low,HYDRES14DEL02,Cloudy,Drinks,Bike,37,4.7,17.426.228,78.407.495,17.446.228,78.427.495,21.32,65.0,4.82
Low,COIMBRES03DEL01,Foggy,Buffet,Bike,32,4.0,11.025.083,77.015.393,11.035.083,77.025.393,24.88,73.0,4.02
Low,INDORES02DEL01,Foggy,Snack,Bike,33,4.8,22.651.847,75.881.991,22.661.847,75.891.991,16.96,72.0,2.31
Low,COIMBRES010DEL03,Foggy,Snack,Bike,28,4.7,11.003.008,7.697.544,11.033.008,7.700.544,24.86,73.0,6.39
Low,MUMRES08DEL02,Foggy,Snack,Bike,30,4.9,19.065.838,72.832.658,19.085.838,72.852.658,27.0,44.0,7.5
Low,JAPRES09DEL02,Foggy,Drinks,Bike,28,5.0,26.911.378,75.789.034,26.931.378,75.809.034,19.53,68.0,4.08
Low,MUMRES03DEL03,Foggy,Buffet,Bike,23,4.7,1.922.384,72.841.347,1.925.384,72.871.347,26.98,44.0,6.64
Low,INDORES02DEL01,Foggy,Meal,Bike,39,4.1,22.651.847,75.881.991,22.661.847,75.891.991,16.96,72.0,2.31
Low,INDORES16DEL02,Foggy,Buffet,Bike,26,4.8,22.744.648,75.894.377,22.764.648,75.914.377,17.08,72.0,5.67
Low,HYDRES16DEL03,Cloudy,Buffet,Bike,30,4.9,17.440.827,78.393.391,17.470.827,78.423.391,21.41,65.0,6.67
Low,INDORES01DEL03,Foggy,Buffet,Bike,38,4.5,22.695.207,75.866.059,22.725.207,75.896.059,17.08,72.0,5.82
Low,DEHRES010DEL03,Clear,Drinks,Bike,22,4.5,30.328.174,78.049.117,30.358.174,78.079.117,16.1,76.0,5.57
Low,CHENRES04DEL02,Foggy,Buffet,Bike,32,4.2,1.302.978,80.208.812,1.304.978,80.228.812,26.45,88.0,4.15
Low,PUNERES19DEL02,Clear,Meal,Bike,24,4.5,18.563.934,73.915.367,18.583.935,73.935.367,19.0,64.0,7.07
Low,CHENRES14DEL02,Foggy,Snack,Bike,21,4.8,13.026.279,80.174.568,13.046.279,80.194.568,26.42,88.0,5.08
Low,RANCHIRES16DEL01,Clear,Buffet,Bike,26,4.9,23.371.292,85.327.872,23.411.292,85.367.872,17.73,68.0,7.62
Low,SURRES07DEL03,Clear,Snack,Bike,28,4.5,21.170.798,72.790.489,21.200.798,72.820.489,23.39,43.0,5.06
Low,PUNERES15DEL01,Clear,Snack,Bike,25,4.8,18.636.215,73.751.081,18.646.215,73.761.081,18.94,65.0,5.03
Low,VADRES03DEL03,Clear,Buffet,Bike,35,4.6,22.32,73.17,22.38,73.23,22.68,43.0,11.19
Low,DEHRES06DEL03,Clear,Buffet,Bike,31,4.7,30.361.281,78.068.022,30.391.281,78.098.022,15.26,77.0,5.07
Low,MUMRES11DEL03,Foggy,Buffet,Bike,37,5.0,18.994.237,72.825.553,19.024.237,72.855.553,26.98,44.0,7.3
Low,INDORES09DEL03,Foggy,Drinks,Bike,39,4.1,22.725.835,75.887.648,22.755.835,75.917.648,17.08,72.0,6.09
Low,JAPRES07DEL01,Foggy,Meal,Bike,38,4.8,26.766.536,75.837.333,26.806.536,75.877.333,20.14,68.0,7.08
Low,JAPRES08DEL02,Foggy,Buffet,Bike,29,4.6,26.910.262,75.783.013,26.930.262,75.803.013,19.53,68.0,4.38
Low,INDORES16DEL01,Foggy,Meal,Bike,33,4.0,22.744.648,75.894.377,22.784.648,75.934.377,17.09,72.0,9.86
Low,JAPRES17DEL02,Foggy,Drinks,Bike,21,4.1,26.892.312,75.806.896,26.912.312,75.826.896,19.58,68.0,4.25
Low,MUMRES17DEL02,Foggy,Drinks,Bike,38,4.5,19.121.999,72.908.493,19.141.999,72.928.493,26.92,44.0,5.42
Low,RANCHIRES13DEL03,Clear,Snack,Bike,24,3.5,23.374.989,85.335.486,23.404.989,85.365.486,17.67,68.0,6.0
Low,KOLRES15DEL03,Foggy,Snack,Bike,27,4.8,22.552.672,88.352.885,22.582.672,88.382.885,22.99,83.0,8.38
Low,KOCRES08DEL02,Foggy,Buffet,Bike,39,4.8,9.985.497,76.276.999,10.005.497,76.296.999,23.99,88.0,3.78
Low,CHENRES09DEL02,Foggy,Meal,Bike,23,4.1,13.044.694,8.026.147,13.064.694,8.028.147,26.46,88.0,5.02
Low,INDORES02DEL01,Foggy,Snack,E-Bike,20,4.7,22.651.847,75.881.991,22.691.847,75.921.991,16.92,72.0,9.79
Low,MYSRES12DEL02,Cloudy,Snack,Bike,27,5.0,12.284.747,76.625.861,12.304.747,76.645.861,18.12,81.0,5.14
Low,INDORES05DEL03,Foggy,Drinks,Bike,21,4.8,22.727.021,75.884.167,22.757.021,75.914.167,17.08,72.0,6.16
Low,BANGRES11DEL02,Foggy,Buffet,Bike,39,5.0,12.934.365,77.616.155,12.954.365,77.636.155,20.3,91.0,4.96
Low,PUNERES04DEL02,Clear,Meal,Bike,29,4.6,1.851.421,73.838.429,1.853.421,73.858.429,19.37,64.0,4.29
Low,GOARES02DEL03,Partly Cloudy,Drinks,Bike,30,4.2,15.585.658,73.743.606,15.615.658,73.773.606,24.98,58.0,6.01
Low,COIMBRES03DEL03,Foggy,Meal,Bike,36,4.9,11.025.083,77.015.393,11.055.083,77.045.393,24.99,73.0,6.51
Low,INDORES09DEL03,Foggy,Drinks,Bike,22,4.6,22.725.835,75.887.648,22.755.835,75.917.648,17.08,72.0,6.09
Low,KNPRES07DEL03,Clear,Drinks,Bike,33,4.7,26.472.001,80.354.002,26.502.001,80.384.002,21.79,55.0,8.97
Low,RANCHIRES18DEL01,Clear,Snack,Bike,23,4.9,23.351.489,85.324.253,23.391.489,85.364.253,17.66,68.0,7.64
Low,VADRES010DEL02,Clear,Snack,Bike,25,4.7,22.310.329,73.169.083,22.360.329,73.219.083,22.78,43.0,10.23
Low,COIMBRES03DEL02,Foggy,Snack,Bike,30,4.8,11.025.083,77.015.393,11.045.083,77.035.393,24.94,73.0,5.1
Low,BANGRES20DEL02,Foggy,Meal,Bike,25,4.9,12.972.161,77.596.014,12.992.161,77.616.014,19.58,91.0,4.31
Low,PUNERES18DEL03,Clear,Buffet,Bike,25,4.5,18.593.481,73.785.901,18.623.481,73.815.901,19.09,65.0,6.67
Low,MUMRES03DEL03,Foggy,Buffet,Bike,21,4.7,1.922.384,72.841.347,1.925.384,72.871.347,26.98,44.0,6.64
Low,JAPRES08DEL02,Foggy,Meal,Bike,30,4.9,26.910.262,75.783.013,26.930.262,75.803.013,19.53,68.0,4.38
Low,BANGRES08DEL02,Foggy,Drinks,Bike,25,4.1,12.906.229,77.596.791,12.926.229,77.616.791,19.76,90.0,4.23
Low,MYSRES18DEL01,Partly Cloudy,Buffet,Bike,27,4.8,12.337.928,76.617.889,12.377.928,76.657.889,18.29,81.0,9.95
Low,KOLRES18DEL02,Foggy,Buffet,Bike,34,4.7,22.569.367,88.433.187,22.589.367,88.453.187,23.03,83.0,4.18
Low,INDORES02DEL01,Foggy,Snack,Bike,35,4.4,22.651.847,75.881.991,22.691.847,75.921.991,16.92,72.0,9.79
Low,CHENRES05DEL03,Foggy,Buffet,Bike,31,4.7,13.058.616,80.264.151,13.088.616,80.294.151,26.43,88.0,6.5
Low,BANGRES19DEL02,Foggy,Meal,Bike,31,4.0,12.914.264,776.784,12.934.264,776.984,19.82,92.0,5.54
Low,GOARES12DEL01,Partly Cloudy,Meal,Bicycle,29,4.6,15.516.833,73.768.172,15.556.833,73.808.172,24.98,58.0,8.33
Low,GOARES16DEL01,Foggy,Meal,Bike,22,4.9,15.498.603,73.826.911,15.508.603,73.836.911,24.75,88.0,4.96
Low,MYSRES07DEL02,Partly Cloudy,Drinks,Bike,24,4.4,12.325.461,76.632.278,12.345.461,76.652.278,18.06,77.0,4.74
Low,HYDRES17DEL01,Cloudy,Buffet,Bike,37,4.4,17.451.976,78.385.883,17.461.976,78.395.883,21.32,65.0,3.86
